date,location,location2,vial,datevial,acclimgroup,species,genus,specacc,locspec,treatment,Ctmax,mass,logmass,Ctmax_corr,locgroup,Lat
3092016,PillarPoint,PillarPoint,11,3092016 11,17,D. fulva,Doriopsilla,D. fulva 17,PillarPoint D. fulva,PillarPoint D. fulva 17,27.8,359.9,2.556181847,0.077243679,PillarPoint 17,37.5
3092016,PillarPoint,PillarPoint,19,3092016 19,13,D. fulva,Doriopsilla,D. fulva 13,PillarPoint D. fulva,PillarPoint D. fulva 13,28.1,1416.1,3.151093923,0.019843231,PillarPoint 13,37.5
3092016,PillarPoint,PillarPoint,6,3092016 6,17,D. fulva,Doriopsilla,D. fulva 17,PillarPoint D. fulva,PillarPoint D. fulva 17,28.3,567.6,2.754042387,0.049859056,PillarPoint 17,37.5
3092016,PillarPoint,PillarPoint,7,3092016 7,17,D. fulva,Doriopsilla,D. fulva 17,PillarPoint D. fulva,PillarPoint D. fulva 17,28.5,1282.7,3.108125095,0.022218757,PillarPoint 17,37.5
3092016,PillarPoint,PillarPoint,12,3092016 12,17,D. fulva,Doriopsilla,D. fulva 17,PillarPoint D. fulva,PillarPoint D. fulva 17,28.8,2523.5,3.402003309,0.01141272,PillarPoint 17,37.5
7072016,Bodega,BodegaBeach,1,7072016 1,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,28.7,633,2.80140371,0.045339652,Bodega 17,38.37
7072016,Bodega,BodegaBeach,14,7072016 14,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,28.8,1113.3,3.046612209,0.025869038,Bodega 17,38.37
7072016,Bodega,BodegaBeach,15,7072016 15,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,28.8,331,2.519827994,0.087009063,Bodega 17,38.37
7072016,Bodega,BodegaBeach,18,7072016 18,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,28.9,184.4,2.265760917,0.156724512,Bodega 17,38.37
7072016,Bodega,BodegaBeach,12,7072016 12,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,28.9,75.1,1.875639937,0.38482024,Bodega 17,38.37
7072016,Bodega,BodegaBeach,22,7072016 22,17,T. catalinae,Triopha,T. catalinae 17,Bodega T. catalinae,Bodega T. catalinae 17,29.2,532.8,2.726564216,0.054804805,Bodega 17,38.37
7072016,Bodega,BodegaBeach,6,7072016 6,17,T. catalinae,Triopha,T. catalinae 17,Bodega T. catalinae,Bodega T. catalinae 17,29.2,423,2.626340367,0.069030733,Bodega 17,38.37
7072016,Bodega,BodegaBeach,11,7072016 11,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,29.5,182.3,2.260786669,0.161821174,Bodega 17,38.37
7072016,Bodega,BodegaBeach,7,7072016 7,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,29.9,429,2.632457292,0.06969697,Bodega 17,38.37
7072016,Bodega,BodegaBeach,2,7072016 2,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,30,751.5,2.875928985,0.03992016,Bodega 17,38.37
7072016,Bodega,BodegaBeach,5,7072016 5,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,30.4,465.8,2.668199484,0.065264062,Bodega 17,38.37
7072016,Bodega,BodegaBeach,16,7072016 16,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,30.7,130.8,2.116607744,0.23470948,Bodega 17,38.37
7072016,Bodega,BodegaBeach,9,7072016 9,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,31,260.1,2.415140352,0.119184929,Bodega 17,38.37
7072016,Bodega,BodegaBeach,19,7072016 19,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,31.3,15.3,1.184691431,2.045751634,Bodega 17,38.37
7082016,Bodega,BodegaBeach,1,7082016 1,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,28.7,633,2.80140371,0.045339652,Bodega 17,38.37
7082016,Bodega,BodegaBeach,14,7082016 14,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,28.8,1113.3,3.046612209,0.025869038,Bodega 17,38.37
7082016,Bodega,BodegaBeach,15,7082016 15,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,28.8,331,2.519827994,0.087009063,Bodega 17,38.37
7082016,Bodega,BodegaBeach,18,7082016 18,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,28.9,184.4,2.265760917,0.156724512,Bodega 17,38.37
7082016,Bodega,BodegaBeach,12,7082016 12,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,28.9,75.1,1.875639937,0.38482024,Bodega 17,38.37
7082016,Bodega,BodegaBeach,22,7082016 22,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,29.2,532.8,2.726564216,0.054804805,Bodega 17,38.37
7082016,Bodega,BodegaBeach,6,7082016 6,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,29.2,423,2.626340367,0.069030733,Bodega 17,38.37
